date,open,high,low,close,volume,macd,signal,Upper_Band,Lower_Band,BB_Width,RSI_14,RSI_5,RSI_9,EMA_50,EMA_200,average_true_range,adx,bull_market,drawdown
2026-03-13,24660.189453125,24786.650390625,24336.529296875,24380.73046875,8278740000,-153.86445212566468,-116.50482507337269,25306.268539650722,24416.35802284928,889.910516801443,39.49936865349601,25.975547555262224,35.39709873688268,25042.64937117834,24183.70501647134,389.52054647772235,28.048168935133656,1,-0.06658228001438382
2026-03-12,24771.31640625,24809.265625,24522.240234375,24533.58203125,1142054000,-107.76460464093907,-102.05827751616705,25256.87420162282,24516.35529056468,740.5189110581414,41.80100034665324,31.624019845557953,38.882996878088086,25091.547546424867,24178.188627835843,394.5309374333671,22.859783449909877,1,-0.06073034882848839
2026-03-12,24771.3203125,24809.26953125,24522.240234375,24533.580078125,8490850000,-127.59148148683016,-107.1649183102997,25271.16432583555,24486.662236664448,784.5020891711029,41.80097144598269,31.623949549065912,38.8829533855732,25069.66646923664,24181.724861172053,380.1973853588959,24.998024755827274,1,-0.06073042360399549
2026-03-11,25053.240234375,25152.119140625,24856.599609375,24965.009765625,8348570000,-80.89101348478289,-100.63169573497403,25277.08126603912,24562.915999585883,714.1652664532376,48.70847713222682,52.08281098934351,49.82600889542434,25114.321649085065,24174.616834836703,411.0702523269963,20.39251485323238,1,-0.04421311228895828
2026-03-10,25002.609375,25189.169921875,24871.439453125,24956.470703125,8800580000,-89.34111166247749,-105.5668662975218,25296.18093037408,24560.07942118842,736.1015091856607,48.55222830117121,51.58688364729442,49.576341917487106,25120.41601167527,24166.67318729109,428.8472863388843,20.39987376929139,1,-0.04454003080601342
2026-03-09,24429.669921875,25019.16015625,24289.220703125,24967.25,9797740000,-97.95757114777007,-109.62330495628288,25340.514327837034,24546.913015912967,793.601311924067,48.726220375496354,52.13176174318287,49.854708021673716,25127.107656922217,24158.73552381537,445.942181352606,20.553177923603076,1,-0.04412734478231092
2026-03-06,24663.740234375,24886.69921875,24579.859375,24643.01953125,9300220000,-108.62799714420544,-112.53973840841108,25350.026108592996,24548.253188282004,801.772920310992,43.02331472510281,35.81938168455807,40.996868606743035,25133.63245924557,24150.609750185373,402.2502933874833,18.28828348801667,1,-0.05654052761448261
2026-03-05,24992.73046875,25174.310546875,24744.560546875,25020.41015625,10994660000,-87.6547574089891,-113.5176737244625,25361.497644897074,24527.348644165428,834.1490007316461,48.90199792570269,52.468756436326395,50.165061654615705,25153.657476714776,24145.66090816462,416.9288241009961,18.116949419958253,1,-0.04209210502997638
2026-03-04,24850.939453125,25179.359375,24795.529296875,25093.6796875,10918410000,-98.03550415874997,-119.98340280333083,25354.13188569288,24521.79741118212,832.3344745107606,50.137042184302494,56.55144085463515,52.178818779171074,25159.096142856193,24136.869458435118,414.95633550114104,19.61722891275013,1,-0.03928697665650742
2026-03-03,24497.380859375,24810.25,24315.83984375,24720.080078125,9705500000,-117.31930678380013,-125.47037746447604,25397.258135174514,24503.165107012985,894.0930281615292,43.36465488666894,36.34767688204243,41.542945745110224,25161.76620225849,24127.253275228435,408.1374183666678,21.885818431105143,1,-0.05359025998172636
2026-03-02,24599.41015625,25059.169921875,24575.5390625,24992.599609375,8303030000,-102.18678032167008,-127.50814513464502,25551.772869369208,24450.50330250579,1101.2695668634187,47.75823504988105,49.88394320148619,48.54331545816807,25179.794207325158,24121.295216907867,394.86468946146493,19.428147174843406,1,-0.04315683347561866
2026-02-27,24808,24987.9609375,24747.25,24960.0390625,9552610000,-109.13324402370927,-133.83848633788875,25629.815822187138,24428.43945125036,1201.3763709367777,47.16432690860534,48.03414499901267,47.60564612474218,25187.43480315986,24112.53838884287,381.20835562852454,18.861328624449136,1,-0.044403415954535896
2026-02-26,25278.25,25288.23046875,24820.55078125,25034.369140625,9033470000,-113.09681175549122,-140.01479691643362,25780.743638812553,24369.937806499944,1410.8058323126097,48.32898191985122,51.50605649558315,49.43353572959037,25196.7162619623,24104.020794132746,402.82334303307516,20.069322709214248,1,-0.0415576844807099
